Timestamp,Number,A1,A2,A3_1,A3_2,A3_3,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3_1,B3_2,B3_3,B3_4,B3_5,B3_6,B3_7,B3_8,B3_9,B3_10,B3_11,B3_12,B3_13,B3_average,B4_1,B4_2,B4_3,B4_4,B4_5,B4_6,B4_7,B4_8,B4_9,B5_1,PerceivedBeingInfluenced,B5_2,B5_3,B5_4,B6_1,PerceivedInfluence,BothSpheres,SphereofInfluence,B6_2,B6_3,B6_4,B6_5,C1_1,C1_2,C1_3,C1_4,C2_1,C2_2,C2_3,C2_4,C3_1,C3_2,C3_3,C3_4,C4_1,C4_2,C4_3,NeighborPlantVariety,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,F7,F8,F9,F9_1,F10,F11,Quality Assessment
44380.35,419,0,1,1,1,0,1,c,3,1,2,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,1,1,1,4,4,4,4,2,1,6,3,0,c,0,1,3,1,3,1,2,3,e,0,1,3,g,3,e,3,a,4,1,1,1,0,40,3,Accountant,4,10000000,4,f,c,0,a,HN,Warning
44399.74,49,0,1,0,0,0,0,c,2,1,1,0,1,1,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,2,0,2,3,3,3,1,0,3,3,3,3,3,2,1,1,2,0,e,0,1,3,1,3,1,2,3,e,0,1,3,"a, b, f",3,b,1,"a, e, g, h",3,1,1,1,0,25,2,Doctor,4,10000000,4,"a, d, e","c, d",0,a,HCM,Qualified
44400.37,30,0,1,0,0,0,0,"b, c",3,1,1,0,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3.846153846,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,1,1,1,4,4,4,4,3,1,6,3,1,b,1,1,4,1,4,1,3,3,"d, e",0,1,4,"a, b, c, d, e, f",3,"a, b, c, d, e",3,"a, b, c, d, e, f, g, h",4,1,1,1,0,30,2,Real estate,4,10000000,4,"d, e","a, b, c, d, e, f, h, i, j",1,a,HCM,Qualified
7/24/2021 21:27,542,0,1,0,0,0,0,"b, c",3,1,1,0,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3.846153846,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,1,1,1,4,4,4,4,3,1,6,3,1,b,1,1,4,1,4,1,3,3,"d, e",0,1,4,"a, b, c, d, e, f",3,"a, b, c, d, e",3,"a, b, c, d, e, f, g, h",4,1,1,1,0,30,2,Real estate,4,"10,000,000",3,"d, e","a, b, c, d, e, f, h, i, j",1,a,HCM,Qualified
44400.45,14,1,1,1,0,0,1,a,3,1,1,0,2,1,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2.230769231,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,1,1,3,3,3,3,2,1,6,3,0,c,1,1,3,1,3,1,2,3,e,0,0,,,,,2,"a, b, c, d, e, f, g, h",3,1,1,1,0,30,2,Real estate,3,10000000,4,f,"b, c",0,a,Binh Duong,Qualified
44380.66,356,0,1,0,1,0,1,a,3,1,1,0,3,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1.230769231,4,4,4,4,4,4,4,4,3,3,1,3,3,3,3,1,1,1,3,3,4,4,2,1,3,3,0,c,1,1,1,0,3,1,2,3,c,0,0,,,,,5,b,4,1,1,1,0,54,5,Insurance,4,30000000,7,f,a,0,b,HN,Qualified
44396.6,83,0,1,0,0,0,0,"b, c",3,2,1,0,1,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3.076923077,4,4,3,3,3,3,4,2,3,3,1,3,3,3,3,1,1,1,3,4,4,4,2,1,5,3,0,c,1,1,2,0,3,1,2,3,"c, d, e",0,1,3,"a, b, f",3,"c, d, e",3,"a, b, c, h",4,1,1,1,1,39,3,Businessman,4,8000000,3,"c, d, e","a, b, c, e, g, h, i, j",1,b,HCM,Qualified
44380.7,351,0,1,0,0,0,0,"a, c",3,1,1,0,1,3,1,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3.153846154,4,4,4,3,3,3,3,3,3,3,1,3,3,3,3,1,1,1,3,3,3,3,2,1,5,2,1,"a, b",2,1,4,1,4,1,2,3,"a, c, d",0,1,4,"b, d",3,"b, d",1,"a, b, c",4,1,1,1,1,59,5,Businessman,5,NA,NA,"c, d","a, b, c, d, e, g, h",1,c,Gia Lai,Qualified
44396.63,75,0,1,0,0,0,0,a,3,1,1,0,1,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,1,1,1,4,4,4,4,3,1,6,2,1,b,2,1,1,0,1,0,4,3,c,0,1,1,,4,e,2,c,3,1,1,1,1,42,4,Businessman,4,30000000,7,f,a,0,a,HCM,Warning
44400.94,2,0,1,0,0,0,0,c,3,1,1,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,1,1,3,3,3,3,2,1,3,3,0,c,0,1,4,1,3,1,3,3,"c, d",0,1,3,"a, f",3,"c, d, e",2,b,2,0,1,1,0,35,3,Government officer,5,30000000,7,e,"a, b, c, d",0,a,HCM ,Warning
7/30/2021 14:34,553,0,1,0,0,0,0,a,2,1,1,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,1,1,3,3,3,3,2,1,1,3,0,e,0,1,3,1,3,1,2,3,c,0,0,,,,,1,"c, e, g",3,1,1,1,0,29,2,Customer care,4,7000000,3,b,c,0,a,HCM,Qualified
7/30/2021 14:35,557,0,1,0,0,0,0,c,3,1,1,0,1,1,1,3,4,3,3,3,2,3,3,3,3,3,3,2,2,2.846153846,4,4,4,4,4,4,4,4,4,2,0,2,2,2,4,1,0,3,4,4,4,4,2,1,6,3,0,a,0,1,4,1,4,1,4,2,a,0,1,1,a,1,a,1,a,1,0,0,0,0,26,2,Customer care,4,10000000,3,c,a,0,a,HCM,Qualified
44380.55,401,0,1,0,0,0,0,"a, c",2,1,1,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,1,1,3,3,3,3,3,1,6,3,1,b,1,2,4,1,4,1,2,3,"a, d",0,1,3,"a, b",3,"a, d, e",2,"a, b, c, e, g, h",4,1,1,1,0,27,2,Makeup specialist,4,10000000,4,"b, e","a, b, c, e, f, i",1,a,HCM,Warning
44388.45,297,0,1,0,0,0,0,b,3,2,2,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,1,1,3,3,3,3,2,1,5,3,0,e,0,1,4,1,3,1,2,3,e,0,1,3,b,3,b,1,Chưa đi,4,1,1,1,0,36,3,Policeman,4,10000000,4,f,d,0,a,HCM,Warning
